Study_Hours,Sleep_Hours,Screen_Time_Hours,Exercise_Hours,Stress_Level,Previous_Marks,Burnout_Score,Burnout_Level,Performance_Decline,Final_Predicted_Marks
6.27,6.39,10.42,2.44,8,64.08,7.62,High,2.04,62.03
5.05,6.08,7.01,0.0,9,56.34,6.16,High,0.58,55.76
2.19,8.18,6.12,0.2,1,63.59,-2.51,Low,0.01,63.58
3.03,6.03,3.53,0.88,4,73.41,0.94,Low,3.07,70.34
5.4,8.27,2.38,0.0,6,75.01,3.67,Medium,2.4,72.61
4.84,7.03,6.31,1.02,2,70.77,2.72,Medium,2.08,68.69
3.84,6.22,4.82,1.95,6,62.63,-0.41,Low,0.39,62.23
4.04,7.93,1.65,0.0,7,64.81,2.73,Medium,2.94,61.87
6.39,5.91,1.21,1.1,6,72.99,4.07,Medium,3.9,69.09
3.96,7.96,2.6,0.53,10,67.92,4.89,Medium,0.34,67.58
4.82,7.32,9.55,2.31,10,57.16,7.15,High,2.07,55.09
9.34,6.11,10.53,0.54,8,63.55,10.18,High,1.56,61.99
2.15,7.79,5.51,2.22,5,64.6,1.74,Low,4.46,60.14
1.3,7.82,5.37,0.52,3,65.53,1.38,Low,1.31,64.21
6.57,8.74,4.16,1.62,2,93.66,-0.79,Low,4.72,88.94
3.64,8.45,2.66,1.2,2,73.28,-1.2,Low,4.14,69.14
4.36,7.74,8.44,0.89,2,63.39,1.41,Low,0.5,62.89
3.44,5.31,9.68,0.37,10,48.08,8.2,High,2.4,45.68
4.48,10.0,2.77,1.26,5,69.43,-0.15,Low,3.25,66.18
8.2,4.89,4.79,0.65,10,69.19,8.33,High,13.78,55.41
6.6,8.42,3.88,0.45,4,77.95,0.23,Low,3.4,74.56
6.72,7.65,3.95,2.18,2,95.37,1.76,Low,2.13,93.24
2.17,5.24,7.96,1.44,5,46.24,4.29,Medium,4.52,41.72
2.7,6.81,1.72,1.51,7,58.4,2.59,Medium,1.35,57.05
0.0,6.88,6.17,0.69,5,49.66,3.62,Medium,0.47,49.19
3.38,8.96,6.82,0.85,8,61.74,2.75,Medium,4.89,56.85
6.91,5.93,4.64,0.8,6,79.75,3.14,Medium,3.26,76.49
6.03,6.61,7.23,1.27,9,64.67,4.2,Medium,3.3,61.38
4.56,3.5,5.37,1.51,10,53.45,6.18,High,8.74,44.71
4.96,9.6,8.04,0.98,5,75.13,2.65,Medium,2.11,73.03
3.62,5.39,1.19,0.37,8,51.73,4.68,Medium,1.93,49.8
5.41,7.49,4.13,1.61,6,68.85,3.33,Medium,4.75,64.11
6.53,6.85,4.82,1.03,7,65.24,5.03,High,1.93,63.3
1.77,6.85,0.0,0.0,8,41.35,2.0,Low,0.39,40.96
5.6,8.21,2.29,0.0,4,81.61,1.95,Low,1.54,80.07
6.86,9.51,2.97,1.24,4,94.89,3.88,Medium,4.37,90.52
4.17,7.38,7.37,0.34,6,62.17,1.75,Low,0.47,61.69
6.4,7.98,3.23,1.34,2,88.66,-2.17,Low,3.58,85.07
10.63,7.49,2.95,0.38,9,86.64,6.14,High,1.33,85.3
4.79,8.53,7.04,1.11,8,63.25,3.02,Medium,3.73,59.52
5.79,6.31,0.96,0.7,2,90.89,-1.66,Low,2.57,88.32
3.52,8.61,0.0,2.4,1,94.27,-1.06,Low,3.18,91.09
5.36,8.67,4.1,1.76,10,64.99,2.84,Medium,1.22,63.78
5.92,8.62,1.38,2.08,4,92.64,2.9,Medium,0.84,91.8
5.39,6.01,1.48,1.02,4,82.57,1.75,Low,0.32,82.25
2.96,6.75,6.43,1.66,2,69.91,0.86,Low,4.13,65.78
5.41,7.36,7.19,1.07,5,70.74,2.08,Low,3.55,67.19
7.92,4.94,6.97,2.18,3,83.42,3.58,Medium,1.47,81.95
5.9,9.39,7.77,0.94,3,70.13,-0.38,Low,4.18,65.95
6.92,6.98,8.1,0.0,10,51.65,3.02,Medium,4.17,47.48
4.53,7.43,0.0,0.0,3,80.87,-2.15,Low,0.69,80.18
6.5,6.13,6.13,2.33,4,72.58,4.54,Medium,3.57,69.01
5.56,5.01,3.68,1.38,5,63.94,1.55,Low,1.46,62.48
3.1,6.09,3.13,1.44,4,55.81,-0.71,Low,2.34,53.48
5.64,7.33,6.4,2.19,9,63.8,4.78,Medium,2.15,61.65
3.02,8.01,0.67,0.0,4,70.95,3.74,Medium,3.0,67.95
3.73,7.24,0.62,0.71,7,68.9,3.76,Medium,1.74,67.17
5.38,7.52,6.58,0.81,10,63.37,4.43,Medium,0.37,63.0
5.59,6.49,6.22,1.59,5,68.86,1.99,Low,3.36,65.5
2.62,7.74,5.34,0.45,10,49.84,3.52,Medium,4.8,45.03
7.11,9.22,2.8,0.04,9,79.03,2.62,Medium,3.34,75.69
6.14,8.06,6.86,0.03,9,64.82,6.18,High,2.7,62.12
3.59,8.21,6.7,1.92,8,57.57,3.38,Medium,0.82,56.76
1.92,7.44,5.21,0.41,6,55.48,0.97,Low,3.13,52.35
4.71,4.75,2.06,0.56,6,55.0,1.02,Low,3.06,51.94
4.11,5.43,3.94,1.51,2,71.92,4.52,Medium,3.09,68.82
5.23,7.68,7.09,0.44,7,59.86,5.39,High,4.46,55.4
4.27,6.98,8.32,0.0,9,58.18,4.47,Medium,3.58,54.6
0.99,7.66,4.18,0.0,9,40.1,5.47,High,3.92,36.18
4.22,9.51,4.38,0.95,2,78.81,-1.62,Low,1.57,77.24
4.39,8.09,4.6,1.4,9,60.89,3.84,Medium,1.35,59.54
6.27,8.89,5.69,0.84,7,70.04,3.26,Medium,1.03,69.0
3.6,7.14,3.55,1.34,5,69.3,2.15,Low,3.89,65.41
8.36,5.79,0.0,0.0,5,82.92,1.02,Low,3.49,79.42
1.18,6.91,7.98,0.0,6,53.82,3.75,Medium,1.71,52.11
7.62,5.79,9.49,2.8,8,60.38,3.45,Medium,0.71,59.68
4.55,9.34,3.47,1.99,2,86.79,-0.81,Low,4.23,82.56
6.72,8.19,2.33,1.62,3,88.17,2.77,Medium,1.92,86.25
5.16,7.78,4.66,0.47,10,60.38,6.54,High,0.95,59.43
7.28,8.85,4.53,0.81,7,79.97,2.45,Medium,0.72,79.24
4.23,3.97,7.49,1.0,3,65.59,0.91,Low,4.6,60.99
2.8,7.88,5.14,2.05,1,74.75,-3.45,Low,0.65,74.1
7.84,5.03,3.02,1.32,6,83.88,4.63,Medium,1.8,82.08
4.77,6.99,1.7,1.42,7,71.01,3.0,Medium,3.16,67.85
5.44,6.53,7.16,0.87,9,53.52,6.18,High,2.04,51.48
7.47,7.99,6.5,1.63,1,88.57,3.75,Medium,2.39,86.18
2.94,7.34,7.65,1.24,9,56.44,5.16,High,4.01,52.43
6.19,9.02,2.58,1.04,10,69.98,4.44,Medium,5.0,64.99
3.82,6.1,9.6,0.41,7,44.88,3.14,Medium,2.34,42.55
4.74,8.06,0.64,0.91,8,73.93,4.97,High,1.89,72.04
5.14,7.24,6.77,0.14,3,71.0,2.11,Low,2.03,68.96
2.0,4.55,0.23,0.97,5,55.8,0.18,Low,1.85,53.96
3.44,5.62,3.02,1.07,3,66.53,1.51,Low,2.37,64.16
7.7,6.78,8.9,0.0,7,66.1,8.68,High,1.67,64.43
6.77,8.67,7.08,0.82,2,82.29,4.92,Medium,2.31,79.97
4.87,7.7,3.63,0.06,6,70.85,1.29,Low,4.73,66.12
5.49,5.25,3.7,1.4,10,59.06,7.12,High,1.43,57.63
4.41,6.79,5.25,1.51,2,77.37,1.62,Low,3.26,74.11
7.71,10.0,6.29,0.66,9,72.73,6.28,High,2.43,70.3
4.6,7.17,8.13,1.44,6,71.19,4.34,Medium,3.66,67.52
5.46,6.51,3.86,1.47,5,81.94,3.43,Medium,2.36,79.58
7.29,7.74,0.97,0.82,6,79.35,4.25,Medium,0.8,78.55
3.45,8.15,5.39,2.23,6,60.54,-0.21,Low,4.36,56.18
8.12,6.32,3.86,0.42,6,83.47,4.34,Medium,3.38,80.09
1.94,7.75,1.75,2.18,10,58.46,1.4,Low,2.63,55.83
8.26,6.51,5.74,0.82,6,80.65,3.56,Medium,4.16,76.5
4.25,8.08,4.47,0.33,9,56.18,4.2,Medium,4.88,51.3
4.51,7.25,5.77,0.72,7,61.41,2.3,Low,2.05,59.37
1.22,7.72,2.76,0.12,1,62.82,-1.64,Low,1.77,61.05
4.09,5.86,6.22,1.63,10,55.16,3.5,Medium,3.77,51.39
2.92,5.77,1.71,0.0,9,46.43,2.98,Medium,2.27,44.16
3.78,8.42,2.93,2.11,6,71.42,2.46,Medium,0.43,70.99
4.73,6.88,4.39,0.25,10,50.55,6.45,High,1.77,48.78
6.92,7.43,9.35,1.67,8,64.92,4.47,Medium,4.04,60.87
5.42,6.54,6.96,1.02,3,70.87,4.5,Medium,3.53,67.34
5.62,8.35,7.69,1.22,3,77.81,3.05,Medium,4.31,73.49
2.81,6.09,8.54,0.53,9,47.13,7.84,High,0.73,46.4
3.24,6.8,12.0,1.28,9,48.2,3.8,Medium,1.22,46.98
8.6,8.18,5.1,1.11,5,79.0,3.54,Medium,1.07,77.93
3.53,8.76,8.55,0.0,5,65.13,4.06,Medium,4.86,60.27
8.31,6.21,7.53,0.23,3,75.85,0.93,Low,0.84,75.0
4.51,9.94,7.49,0.57,7,61.54,7.18,High,2.99,58.55
5.0,7.47,9.44,0.4,7,59.34,4.06,Medium,3.16,56.17
7.14,5.44,3.95,2.0,3,81.83,2.9,Medium,3.09,78.73
7.54,7.55,3.75,1.01,8,78.48,5.56,High,3.46,75.02
4.78,6.43,5.8,0.38,6,65.13,3.84,Medium,2.42,62.71
4.22,7.65,4.54,0.61,3,67.39,3.37,Medium,0.42,66.97
4.89,6.94,5.8,0.6,6,63.6,6.51,High,3.51,60.09
5.68,7.11,8.91,0.77,1,73.1,0.36,Low,1.41,71.7
6.78,5.63,3.8,0.14,6,75.9,3.95,Medium,0.38,75.52
5.01,8.49,4.24,0.35,7,65.37,4.53,Medium,0.85,64.52
6.24,5.27,5.44,1.61,4,71.63,0.53,Low,1.44,70.19
8.28,5.34,4.43,1.15,4,77.47,4.75,Medium,2.16,75.31
5.76,7.55,0.21,0.88,3,79.92,2.84,Medium,4.31,75.61
5.62,9.4,3.55,1.0,5,72.23,3.59,Medium,2.68,69.55
1.96,6.47,6.72,0.96,1,58.09,1.43,Low,2.36,55.73
0.0,8.05,8.59,0.83,6,51.68,5.31,High,0.96,50.72
5.78,8.61,2.11,1.41,2,90.85,0.46,Low,4.8,86.06
4.81,8.22,2.1,1.35,4,84.98,-1.12,Low,4.54,80.44
3.97,6.53,5.08,0.0,6,54.58,2.57,Medium,4.08,50.5
5.49,5.36,0.0,0.89,6,63.62,1.93,Low,1.62,62.0
4.88,3.69,3.89,0.0,10,52.64,5.94,High,5.38,47.27
7.26,6.61,0.66,1.51,7,91.04,2.72,Medium,1.94,89.09
5.17,8.77,8.42,1.61,1,76.0,0.6,Low,2.01,73.99
3.51,5.31,3.08,0.51,6,60.08,3.26,Medium,0.36,59.72
6.98,8.05,9.13,0.91,9,57.2,8.3,High,0.7,56.5
4.57,5.57,7.78,0.0,8,51.88,5.9,High,4.81,47.07
6.05,7.16,3.38,1.78,8,72.16,4.67,Medium,3.05,69.11
4.05,8.06,2.32,1.57,6,61.06,-1.52,Low,0.03,61.03
3.7,6.01,4.52,1.92,4,62.62,2.1,Low,4.05,58.58
5.17,7.26,4.74,2.19,1,77.06,1.97,Low,0.44,76.63
5.03,6.38,5.87,0.02,5,56.22,5.22,High,3.54,52.68
5.96,8.06,3.06,1.71,5,76.87,3.57,Medium,3.1,73.77
4.46,7.35,6.87,2.18,7,67.35,4.26,Medium,0.31,67.04
1.33,7.08,5.66,0.0,1,55.82,0.96,Low,2.65,53.16
4.13,9.34,4.15,0.86,6,75.32,1.09,Low,0.24,75.08
6.59,7.99,3.22,0.71,7,73.82,4.51,Medium,0.32,73.5
4.41,5.96,4.54,1.68,1,77.43,-0.38,Low,0.26,77.17
4.51,6.87,2.96,0.0,3,73.82,2.25,Low,1.28,72.54
6.97,6.89,5.15,2.45,10,78.97,5.44,High,4.01,74.96
3.58,7.12,5.21,0.91,9,51.87,4.48,Medium,1.81,50.06
1.91,10.0,5.65,1.73,8,60.59,4.23,Medium,3.2,57.39
4.68,7.56,9.42,0.95,10,47.83,7.14,High,0.62,47.2
4.03,3.95,4.67,1.39,6,67.81,4.17,Medium,4.66,63.14
3.07,6.19,7.51,0.0,8,42.18,4.26,Medium,2.52,39.65
4.65,4.1,5.57,0.69,2,68.43,4.64,Medium,0.12,68.31
5.98,6.51,4.4,1.68,7,79.17,4.23,Medium,2.69,76.48
4.98,4.02,4.7,1.23,2,64.62,3.08,Medium,0.92,63.7
5.61,5.69,4.85,0.0,3,73.54,2.49,Medium,0.98,72.56
8.63,4.72,5.7,1.05,2,79.58,1.77,Low,3.0,76.58
4.31,7.58,2.6,0.35,5,81.18,2.33,Low,1.13,80.05
5.56,7.0,1.34,0.28,10,55.59,3.46,Medium,1.07,54.52
3.98,7.45,6.64,0.0,5,53.3,3.71,Medium,2.7,50.59
3.31,6.84,7.25,1.49,6,52.92,-1.41,Low,1.18,51.75
3.83,4.91,6.86,1.89,6,53.07,3.37,Medium,0.55,52.51
4.04,7.77,5.39,2.7,7,70.32,3.03,Medium,2.04,68.28
5.72,9.88,6.92,0.0,8,75.26,2.82,Medium,0.26,75.0
9.7,7.61,6.78,1.61,4,96.46,3.91,Medium,4.53,91.94
3.57,6.36,6.97,1.67,9,54.71,4.43,Medium,2.26,52.45
4.17,4.86,2.85,0.54,3,67.76,1.62,Low,0.07,67.7
4.87,5.64,2.26,0.27,5,65.15,1.58,Low,1.12,64.03
5.79,7.68,4.03,0.13,3,78.83,2.99,Medium,4.79,74.04
5.53,8.61,4.96,0.58,2,78.58,1.71,Low,2.48,76.1
7.57,7.39,4.4,1.16,5,82.9,3.33,Medium,1.79,81.1
0.15,8.2,0.31,2.09,9,51.09,1.84,Low,1.58,49.51
0.23,8.06,9.3,1.88,6,40.71,6.84,High,2.08,38.63
4.01,7.76,4.31,0.0,4,67.21,1.53,Low,1.06,66.15
7.19,6.01,5.43,0.37,7,69.78,3.65,Medium,3.75,66.03
1.87,7.26,8.11,2.04,10,42.97,3.46,Medium,2.54,40.43
0.0,5.73,0.0,0.42,5,48.87,2.06,Low,3.76,45.11
6.14,7.03,3.72,0.95,7,74.7,5.99,High,1.27,73.42
5.49,7.5,4.03,0.0,2,79.17,-0.21,Low,0.01,79.16
2.82,9.52,4.16,1.92,2,85.23,-0.86,Low,4.83,80.39
3.03,5.04,4.57,0.0,9,54.24,4.43,Medium,2.56,51.68
3.06,7.72,8.62,0.0,4,50.79,2.69,Medium,0.4,50.39
5.22,9.22,6.68,1.84,1,81.87,-2.24,Low,0.52,81.35
3.75,8.14,7.4,2.54,9,52.96,5.73,High,2.17,50.78
5.99,8.25,5.12,0.77,1,73.88,2.39,Medium,3.48,70.4
0.0,7.88,1.5,0.96,2,73.38,-3.96,Low,1.98,71.39
3.29,8.95,0.0,1.73,9,75.62,4.76,Medium,4.1,71.52
2.75,5.37,1.18,1.23,3,64.51,2.97,Medium,1.65,62.86
4.49,4.92,5.9,0.7,1,75.26,-3.05,Low,0.23,75.04
3.92,6.99,5.08,0.61,3,74.85,-1.67,Low,0.04,74.81
6.6,3.76,4.47,0.0,9,49.59,5.83,High,12.53,37.05
1.28,8.85,4.08,1.19,2,70.51,1.56,Low,4.92,65.59
5.09,8.83,10.03,0.93,5,63.3,4.13,Medium,0.66,62.64
6.12,6.35,2.94,0.65,1,84.62,0.6,Low,0.31,84.31
8.71,6.44,7.32,0.2,10,82.41,7.83,High,4.57,77.83
4.04,6.89,5.0,0.28,1,79.19,-0.53,Low,0.5,78.68
5.65,7.08,4.85,1.49,7,69.32,5.58,High,1.14,68.18
1.39,7.19,7.94,1.71,10,50.26,5.01,High,4.01,46.25
0.22,7.84,8.66,0.74,10,35.0,2.69,Medium,4.99,30.01
6.69,6.74,4.4,0.65,3,82.12,0.81,Low,2.43,79.69
4.99,8.41,7.0,0.32,1,77.88,1.56,Low,1.05,76.82
7.36,7.67,5.91,1.75,1,92.68,0.66,Low,4.24,88.44
2.25,6.09,5.02,1.02,5,54.2,1.83,Low,1.97,52.22
6.04,9.0,5.51,1.29,3,83.69,1.71,Low,1.36,82.33
8.74,4.96,3.28,1.29,4,90.1,3.52,Medium,2.45,87.64
5.84,6.86,4.23,0.75,6,59.38,1.38,Low,4.28,55.1
5.55,8.45,3.55,0.07,2,78.41,2.46,Medium,1.17,77.25
5.02,5.92,7.25,0.2,7,53.11,4.67,Medium,2.12,50.99
1.86,7.46,4.76,1.9,5,64.24,2.31,Low,2.22,62.02
7.71,7.82,1.76,0.42,8,85.99,3.79,Medium,4.16,81.82
3.78,5.71,3.19,0.67,4,62.7,1.25,Low,3.38,59.32
6.01,6.89,0.0,0.09,8,66.65,4.48,Medium,3.9,62.75
1.87,6.77,3.76,0.03,4,58.05,1.59,Low,3.47,54.58
2.64,6.17,5.09,0.38,5,50.66,2.74,Medium,2.96,47.69
7.87,10.0,4.66,2.35,3,94.41,-2.73,Low,0.66,93.75
4.31,5.86,9.95,1.53,4,58.93,5.01,High,4.16,54.76
7.91,8.51,6.44,0.58,9,75.62,5.09,High,3.04,72.58
4.84,6.41,6.33,1.87,5,69.88,4.2,Medium,3.51,66.38
1.32,5.37,0.89,0.88,4,60.11,3.21,Medium,3.89,56.21
6.78,7.15,4.09,2.08,4,91.75,3.26,Medium,1.56,90.19
3.82,7.97,3.78,2.77,7,71.21,2.53,Medium,2.19,69.02
6.4,8.38,3.03,1.82,2,87.18,-0.12,Low,2.71,84.47
5.05,9.34,3.0,1.08,4,78.14,4.68,Medium,1.71,76.42
1.91,10.0,0.48,1.56,3,71.79,-0.56,Low,1.29,70.5
5.33,7.38,1.81,1.01,7,67.29,3.01,Medium,3.88,63.41
9.39,6.01,7.19,0.0,4,73.86,3.96,Medium,3.77,70.09
5.99,7.68,4.64,0.48,8,73.44,2.85,Medium,4.16,69.28
4.88,6.6,3.73,0.24,5,64.26,-0.36,Low,3.48,60.78
7.15,8.39,4.99,0.46,9,72.86,7.1,High,1.56,71.3
5.42,5.05,7.92,2.43,9,57.72,4.79,Medium,1.64,56.09
5.42,10.0,5.01,1.9,3,83.71,0.42,Low,2.64,81.07
2.82,8.28,6.35,1.35,9,60.14,4.05,Medium,4.18,55.96
5.47,4.47,2.88,1.65,4,74.33,4.44,Medium,1.73,72.59
7.07,5.94,3.45,0.0,9,62.36,4.02,Medium,3.83,58.53
3.33,8.22,5.88,1.58,2,68.86,1.03,Low,1.53,67.33
7.85,8.76,9.73,1.75,5,83.88,4.78,Medium,1.69,82.19
4.82,5.09,8.57,0.0,6,57.0,2.93,Medium,3.76,53.24
3.22,8.07,6.46,1.61,3,72.8,-0.88,Low,3.39,69.41
7.0,4.08,5.38,0.0,2,72.88,1.72,Low,1.04,71.84
4.43,6.87,8.5,0.0,1,59.7,2.24,Low,4.14,55.57
6.52,8.67,6.99,2.06,7,77.65,4.06,Medium,3.92,73.73
4.42,6.17,0.0,0.19,4,73.86,0.81,Low,3.99,69.87
4.88,4.74,2.37,0.43,8,62.13,5.16,High,11.49,50.64
5.99,7.22,5.85,1.79,8,62.09,3.14,Medium,1.64,60.44
5.58,6.09,0.53,0.76,8,66.78,3.04,Medium,4.25,62.53
1.01,7.94,2.76,0.86,2,59.67,-0.7,Low,2.94,56.73
2.76,5.67,3.25,0.84,5,62.01,0.91,Low,4.65,57.36
6.86,5.84,4.36,1.28,8,72.58,8.12,High,1.27,71.31
4.74,3.97,4.28,0.82,10,52.7,2.64,Medium,13.13,39.57
3.95,7.25,4.28,1.09,2,78.02,2.54,Medium,1.9,76.12
2.28,6.76,7.06,0.6,2,67.3,2.63,Medium,1.92,65.38
2.84,5.22,4.34,1.28,1,68.9,1.76,Low,1.19,67.71
0.96,7.29,4.04,1.25,6,57.46,2.11,Low,4.83,52.63
4.8,8.54,1.63,2.52,5,78.68,2.88,Medium,0.2,78.48
3.8,6.68,7.56,0.69,1,63.68,0.71,Low,2.37,61.32
3.07,7.4,3.32,0.85,8,63.7,3.81,Medium,1.83,61.87
4.86,7.41,2.28,1.19,8,64.05,3.31,Medium,0.8,63.25
5.73,5.19,5.53,1.77,5,73.8,3.04,Medium,3.57,70.23
9.19,10.0,3.08,0.13,3,100.0,1.42,Low,4.49,95.51
1.98,6.29,3.69,1.08,8,55.48,1.97,Low,1.22,54.26
7.32,7.98,5.65,0.0,3,80.37,1.27,Low,2.49,77.88
6.95,8.15,4.18,0.78,4,75.46,4.41,Medium,2.89,72.57
3.44,6.79,10.78,1.86,7,53.57,9.34,High,1.95,51.62
5.41,7.91,4.81,0.42,7,72.53,4.35,Medium,4.61,67.92
4.08,7.37,6.54,1.14,4,65.79,3.59,Medium,2.31,63.48
5.37,4.87,0.15,0.58,9,69.85,4.42,Medium,12.33,57.52
8.02,6.5,2.85,0.31,6,81.57,4.13,Medium,1.48,80.09
6.21,6.08,2.28,1.78,8,74.37,4.56,Medium,0.37,74.01
6.02,6.31,2.61,0.16,7,67.67,5.12,High,2.87,64.8
4.14,5.04,6.04,1.23,4,56.01,5.18,High,4.12,51.89
2.03,8.69,7.59,1.25,2,61.74,-0.5,Low,1.94,59.8
4.58,9.4,5.86,0.32,2,73.14,5.03,High,0.93,72.21
7.41,8.47,4.43,1.12,8,80.19,4.26,Medium,3.69,76.5
1.95,8.91,3.42,0.25,8,55.14,2.9,Medium,1.35,53.79
2.89,6.48,7.78,1.42,1,70.52,0.57,Low,3.85,66.67
5.25,6.05,10.18,0.0,1,67.24,2.18,Low,1.31,65.93
3.03,5.83,5.34,0.73,4,57.44,3.24,Medium,2.79,54.66
3.41,7.97,7.35,0.8,1,64.89,1.79,Low,4.44,60.45
4.15,7.34,5.86,1.89,10,55.16,5.86,High,1.02,54.14
2.27,6.88,6.89,1.11,1,64.65,0.05,Low,4.1,60.55
3.05,8.94,2.09,1.76,10,60.39,-0.85,Low,1.33,59.06
6.41,7.61,3.78,1.44,5,74.12,-0.35,Low,3.3,70.82
2.39,5.74,5.99,1.44,1,69.39,0.78,Low,1.22,68.17
1.8,5.98,8.03,0.73,10,40.09,6.33,High,0.57,39.52
3.74,8.02,2.95,1.82,6,71.4,1.23,Low,3.32,68.08
6.46,8.56,0.0,0.72,4,83.01,-0.46,Low,2.97,80.04
4.61,7.83,3.75,0.0,10,53.24,5.14,High,2.01,51.23
4.07,9.85,7.53,0.83,5,66.36,2.29,Low,0.18,66.18
5.09,9.45,1.04,1.36,9,63.65,2.01,Low,2.38,61.27
1.51,7.66,2.06,0.0,2,68.17,-2.8,Low,0.74,67.43
5.99,5.74,5.39,0.29,3,68.71,1.27,Low,1.8,66.92
5.77,5.04,4.71,0.02,3,68.78,3.95,Medium,2.93,65.85
4.18,6.42,6.49,1.63,9,58.86,3.59,Medium,4.7,54.16
7.01,8.13,1.93,2.34,3,91.31,1.57,Low,2.56,88.75
2.75,9.74,4.19,0.83,10,50.83,5.8,High,0.97,49.86
7.26,7.63,7.99,1.43,5,84.1,2.59,Medium,4.73,79.37
5.31,8.75,2.02,1.4,6,70.27,1.09,Low,0.13,70.14
4.33,6.63,8.69,2.24,6,51.08,5.52,High,3.21,47.87
4.96,7.93,2.33,0.48,6,76.02,4.06,Medium,1.31,74.71
4.79,8.24,7.12,0.82,1,68.1,-0.01,Low,3.79,64.31
7.44,4.03,4.07,0.73,6,78.17,1.92,Low,1.66,76.51
2.85,6.38,2.14,1.06,1,74.0,1.47,Low,2.14,71.86
3.47,8.42,3.76,3.0,6,73.54,2.57,Medium,3.85,69.69
7.07,7.41,6.36,1.02,10,63.8,6.5,High,4.49,59.31
3.81,5.21,4.98,0.32,6,52.99,5.01,High,0.91,52.08
6.8,3.35,7.8,0.08,3,64.57,2.4,Medium,1.48,63.09
8.4,6.45,8.59,2.0,3,79.23,4.01,Medium,0.02,79.21
4.2,6.89,2.04,0.31,6,72.48,1.89,Low,4.28,68.2
6.36,5.67,1.86,1.53,2,80.89,1.73,Low,4.74,76.15
2.69,7.21,1.74,0.46,5,66.49,2.5,Medium,1.4,65.1
6.51,7.76,2.75,0.0,10,72.46,6.26,High,1.92,70.53
5.4,8.01,7.76,1.48,3,70.01,3.11,Medium,2.14,67.87
5.95,3.47,6.4,0.5,5,64.48,4.85,Medium,2.05,62.44
3.71,5.03,3.64,1.34,3,62.99,1.98,Low,1.96,61.02
1.68,6.54,4.97,1.4,2,61.67,1.13,Low,2.38,59.29
6.01,7.86,8.51,1.44,4,70.99,2.17,Low,0.77,70.23
0.87,7.73,9.77,0.79,5,43.18,2.57,Medium,0.29,42.9
4.37,7.71,5.65,1.55,6,67.84,3.55,Medium,3.62,64.22
6.88,6.42,0.0,0.26,2,81.09,1.37,Low,4.23,76.86
5.38,6.51,5.74,0.0,3,74.58,1.37,Low,4.05,70.53
8.9,5.91,7.34,1.57,3,79.69,1.78,Low,3.13,76.55
7.05,8.15,5.56,1.13,6,71.23,0.89,Low,4.84,66.38
3.69,5.62,6.82,0.51,1,64.06,-0.4,Low,0.01,64.05
5.05,8.28,5.89,0.0,7,62.07,2.99,Medium,1.6,60.47
4.91,7.31,1.91,0.0,8,67.15,2.69,Medium,1.55,65.6
1.84,6.93,2.78,1.04,7,56.58,1.99,Low,1.75,54.83
3.12,6.01,4.2,2.32,4,59.03,-0.19,Low,4.0,55.03
3.88,4.97,7.66,0.89,7,57.55,2.19,Low,1.76,55.79
0.93,6.03,3.09,0.71,1,59.89,-0.15,Low,2.64,57.25
5.09,6.5,6.14,0.98,8,62.33,4.9,Medium,3.07,59.26
4.5,3.45,5.76,2.74,10,65.5,6.98,High,6.24,59.26
1.65,6.7,8.97,1.6,10,47.81,6.91,High,3.08,44.73
5.81,8.39,4.9,0.25,3,78.48,2.15,Low,1.91,76.57
6.43,7.85,0.61,1.02,9,68.71,3.58,Medium,3.47,65.24
5.45,6.26,6.62,1.27,1,69.42,2.76,Medium,2.58,66.84
4.35,7.07,10.35,0.15,6,60.31,6.96,High,2.64,57.66
6.18,6.17,6.78,1.61,1,77.7,0.58,Low,1.68,76.03
6.36,7.22,3.03,0.35,8,69.54,5.1,High,0.01,69.53
5.61,9.31,2.3,0.0,3,75.91,-0.42,Low,1.78,74.13
3.35,8.45,2.62,1.06,4,73.79,1.04,Low,1.51,72.28
5.55,7.78,10.01,0.93,6,69.27,6.2,High,0.5,68.77
7.39,6.26,4.18,1.0,4,88.43,2.24,Low,0.99,87.43
3.81,8.12,3.34,0.39,8,59.39,1.82,Low,4.9,54.48
9.2,4.47,4.6,0.5,9,75.54,5.59,High,12.76,62.79
3.95,6.62,4.21,1.9,5,67.96,0.76,Low,2.59,65.37
5.06,7.88,8.92,1.35,1,79.09,-0.06,Low,2.75,76.35
3.66,8.11,2.46,0.23,8,61.83,4.8,Medium,2.8,59.03
5.45,8.0,7.95,0.0,2,67.75,2.87,Medium,0.24,67.51
1.52,7.44,5.31,0.27,6,58.4,1.53,Low,3.86,54.54
3.91,6.71,8.02,1.13,6,58.89,2.47,Medium,3.65,55.24
2.82,7.81,8.96,0.49,7,49.17,2.94,Medium,4.89,44.28
5.27,5.57,5.21,0.43,9,58.59,4.28,Medium,0.92,57.67
6.99,5.73,4.21,0.53,1,79.01,3.06,Medium,2.77,76.24
6.29,7.09,5.17,0.94,10,66.51,5.33,High,4.02,62.49
0.26,7.26,4.76,1.63,8,46.3,6.17,High,0.62,45.68
9.08,4.26,0.86,1.0,5,82.6,3.04,Medium,3.95,78.65
5.59,7.68,8.88,1.05,6,77.44,3.4,Medium,1.35,76.09
3.45,8.16,5.61,0.82,8,53.11,5.15,High,1.4,51.7
5.31,6.88,2.09,0.6,8,69.45,1.0,Low,4.73,64.73
